Number of message created : 49476
G31 : {G0=2115000.0, G1=2485000.0, G10=1870000.0, G11=1680000.0, G12=1510000.0, G13=1770000.0, G14=2460000.0, G15=2195000.0, G16=2160000.0, G17=2365000.0, G18=2205000.0, G19=2355000.0, G2=2405000.0, G20=260000.0, G21=2055000.0, G22=2440000.0, G23=2175000.0, G24=2300000.0, G25=2410000.0, G26=1795000.0, G27=2290000.0, G28=2390000.0, G29=2490000.0, G3=2185000.0, G30=2375000.0, G31=975000.0, G32=1695000.0, G33=2315000.0, G34=2495000.0, G35=2240000.0, G36=1740000.0, G37=2200000.0, G38=2255000.0, G39=2455000.0, G4=1550000.0, G40=1635000.0, G41=2140000.0, G42=2370000.0, G43=1365000.0, G44=2215000.0, G45=2345000.0, G46=1140000.0, G47=2330000.0, G48=2260000.0, G49=2470000.0, G5=1730000.0, G50=2475000.0, G51=2270000.0, G52=1970000.0, G53=2465000.0, G54=2430000.0, G55=1620000.0, G56=1920000.0, G57=1545000.0, G58=800000.0, G59=2450000.0, G6=2415000.0, G60=2425000.0, G61=2050000.0, G62=2245000.0, G63=1890000.0, G64=2090000.0, G65=2095000.0, G66=2165000.0, G67=1650000.0, G68=2480000.0, G69=2445000.0, G7=2320000.0, G70=1905000.0, G71=2335000.0, G72=1950000.0, G73=1935000.0, G74=2180000.0, G8=2400000.0, G9=1990000.0}
G32 : {G0=2115000.0, G1=2485000.0, G10=1870000.0, G11=1680000.0, G12=1510000.0, G13=1770000.0, G14=2460000.0, G15=2195000.0, G16=2160000.0, G17=2365000.0, G18=2205000.0, G19=2355000.0, G2=2405000.0, G20=260000.0, G21=2055000.0, G22=2440000.0, G23=2175000.0, G24=2300000.0, G25=2410000.0, G26=1795000.0, G27=2290000.0, G28=2390000.0, G29=2490000.0, G3=2185000.0, G30=2375000.0, G31=975000.0, G32=1695000.0, G33=2315000.0, G34=2495000.0, G35=2240000.0, G36=1740000.0, G37=2200000.0, G38=2255000.0, G39=2455000.0, G4=1550000.0, G40=1635000.0, G41=2140000.0, G42=2370000.0, G43=1365000.0, G44=2215000.0, G45=2345000.0, G46=1140000.0, G47=2330000.0, G48=2260000.0, G49=2470000.0, G5=1730000.0, G50=2475000.0, G51=2270000.0, G52=1970000.0, G53=2465000.0, G54=2430000.0, G55=1620000.0, G56=1920000.0, G57=1545000.0, G58=800000.0, G59=2450000.0, G6=2415000.0, G60=2425000.0, G61=2050000.0, G62=2245000.0, G63=1890000.0, G64=2090000.0, G65=2095000.0, G66=2165000.0, G67=1650000.0, G68=2480000.0, G69=2445000.0, G7=2320000.0, G70=1905000.0, G71=2335000.0, G72=1950000.0, G73=1935000.0, G74=2180000.0, G8=2400000.0, G9=1990000.0}
G33 : {G0=2115000.0, G1=2485000.0, G10=1870000.0, G11=1680000.0, G12=1510000.0, G13=1770000.0, G14=2460000.0, G15=2195000.0, G16=2160000.0, G17=2365000.0, G18=2205000.0, G19=2355000.0, G2=2405000.0, G20=260000.0, G21=2055000.0, G22=2440000.0, G23=2175000.0, G24=2300000.0, G25=2410000.0, G26=1795000.0, G27=2290000.0, G28=2390000.0, G29=2490000.0, G3=2185000.0, G30=2375000.0, G31=975000.0, G32=1695000.0, G33=2315000.0, G34=2495000.0, G35=2240000.0, G36=1740000.0, G37=2200000.0, G38=2255000.0, G39=2455000.0, G4=1550000.0, G40=1635000.0, G41=2140000.0, G42=2370000.0, G43=1365000.0, G44=2215000.0, G45=2345000.0, G46=1140000.0, G47=2330000.0, G48=2260000.0, G49=2470000.0, G5=1730000.0, G50=2475000.0, G51=2270000.0, G52=1970000.0, G53=2465000.0, G54=2430000.0, G55=1620000.0, G56=1920000.0, G57=1545000.0, G58=800000.0, G59=2450000.0, G6=2415000.0, G60=2425000.0, G61=2050000.0, G62=2245000.0, G63=1890000.0, G64=2090000.0, G65=2095000.0, G66=2165000.0, G67=1650000.0, G68=2480000.0, G69=2445000.0, G7=2320000.0, G70=1905000.0, G71=2335000.0, G72=1950000.0, G73=1935000.0, G74=2180000.0, G8=2400000.0, G9=1990000.0}
G34 : {G0=2115000.0, G1=2485000.0, G10=1870000.0, G11=1680000.0, G12=1510000.0, G13=1770000.0, G14=2460000.0, G15=2195000.0, G16=2160000.0, G17=2365000.0, G18=2205000.0, G19=2355000.0, G2=2405000.0, G20=260000.0, G21=2055000.0, G22=2440000.0, G23=2175000.0, G24=2300000.0, G25=2410000.0, G26=1795000.0, G27=2290000.0, G28=2390000.0, G29=2490000.0, G3=2185000.0, G30=2375000.0, G31=975000.0, G32=1695000.0, G33=2315000.0, G34=2495000.0, G35=2240000.0, G36=1740000.0, G37=2200000.0, G38=2255000.0, G39=2455000.0, G4=1550000.0, G40=1635000.0, G41=2140000.0, G42=2370000.0, G43=1365000.0, G44=2215000.0, G45=2345000.0, G46=1140000.0, G47=2330000.0, G48=2260000.0, G49=2470000.0, G5=1730000.0, G50=2475000.0, G51=2270000.0, G52=1970000.0, G53=2465000.0, G54=2430000.0, G55=1620000.0, G56=1920000.0, G57=1545000.0, G58=800000.0, G59=2450000.0, G6=2415000.0, G60=2425000.0, G61=2050000.0, G62=2245000.0, G63=1890000.0, G64=2090000.0, G65=2095000.0, G66=2165000.0, G67=1650000.0, G68=2480000.0, G69=2445000.0, G7=2320000.0, G70=1905000.0, G71=2335000.0, G72=1950000.0, G73=1935000.0, G74=2180000.0, G8=2400000.0, G9=1990000.0}
G35 : {G0=2115000.0, G1=2485000.0, G10=1870000.0, G11=1680000.0, G12=1510000.0, G13=1770000.0, G14=2460000.0, G15=2195000.0, G16=2160000.0, G17=2365000.0, G18=2205000.0, G19=2355000.0, G2=2405000.0, G20=260000.0, G21=2055000.0, G22=2440000.0, G23=2175000.0, G24=2300000.0, G25=2410000.0, G26=1795000.0, G27=2290000.0, G28=2390000.0, G29=2490000.0, G3=2185000.0, G30=2375000.0, G31=975000.0, G32=1695000.0, G33=2315000.0, G34=2495000.0, G35=2240000.0, G36=1740000.0, G37=2200000.0, G38=2255000.0, G39=2455000.0, G4=1550000.0, G40=1635000.0, G41=2140000.0, G42=2370000.0, G43=1365000.0, G44=2215000.0, G45=2345000.0, G46=1140000.0, G47=2330000.0, G48=2260000.0, G49=2470000.0, G5=1730000.0, G50=2475000.0, G51=2270000.0, G52=1970000.0, G53=2465000.0, G54=2430000.0, G55=1620000.0, G56=1920000.0, G57=1545000.0, G58=800000.0, G59=2450000.0, G6=2415000.0, G60=2425000.0, G61=2050000.0, G62=2245000.0, G63=1890000.0, G64=2090000.0, G65=2095000.0, G66=2165000.0, G67=1650000.0, G68=2480000.0, G69=2445000.0, G7=2320000.0, G70=1905000.0, G71=2335000.0, G72=1950000.0, G73=1935000.0, G74=2180000.0, G8=2400000.0, G9=1990000.0}
G36 : {G0=2115000.0, G1=2485000.0, G10=1870000.0, G11=1680000.0, G12=1510000.0, G13=1770000.0, G14=2460000.0, G15=2195000.0, G16=2160000.0, G17=2365000.0, G18=2205000.0, G19=2355000.0, G2=2405000.0, G20=260000.0, G21=2055000.0, G22=2440000.0, G23=2175000.0, G24=2300000.0, G25=2410000.0, G26=1795000.0, G27=2290000.0, G28=2390000.0, G29=2490000.0, G3=2185000.0, G30=2375000.0, G31=975000.0, G32=1695000.0, G33=2315000.0, G34=2495000.0, G35=2240000.0, G36=1740000.0, G37=2200000.0, G38=2255000.0, G39=2455000.0, G4=1550000.0, G40=1635000.0, G41=2140000.0, G42=2370000.0, G43=1365000.0, G44=2215000.0, G45=2345000.0, G46=1140000.0, G47=2330000.0, G48=2260000.0, G49=2470000.0, G5=1730000.0, G50=2475000.0, G51=2270000.0, G52=1970000.0, G53=2465000.0, G54=2430000.0, G55=1620000.0, G56=1920000.0, G57=1545000.0, G58=800000.0, G59=2450000.0, G6=2415000.0, G60=2425000.0, G61=2050000.0, G62=2245000.0, G63=1890000.0, G64=2090000.0, G65=2095000.0, G66=2165000.0, G67=1650000.0, G68=2480000.0, G69=2445000.0, G7=2320000.0, G70=1905000.0, G71=2335000.0, G72=1950000.0, G73=1935000.0, G74=2180000.0, G8=2400000.0, G9=1990000.0}
G37 : {G0=2115000.0, G1=2485000.0, G10=1870000.0, G11=1680000.0, G12=1510000.0, G13=1770000.0, G14=2460000.0, G15=2195000.0, G16=2160000.0, G17=2365000.0, G18=2205000.0, G19=2355000.0, G2=2405000.0, G20=260000.0, G21=2055000.0, G22=2440000.0, G23=2175000.0, G24=2300000.0, G25=2410000.0, G26=1795000.0, G27=2290000.0, G28=2390000.0, G29=2490000.0, G3=2185000.0, G30=2375000.0, G31=975000.0, G32=1695000.0, G33=2315000.0, G34=2495000.0, G35=2240000.0, G36=1740000.0, G37=2200000.0, G38=2255000.0, G39=2455000.0, G4=1550000.0, G40=1635000.0, G41=2140000.0, G42=2370000.0, G43=1365000.0, G44=2215000.0, G45=2345000.0, G46=1140000.0, G47=2330000.0, G48=2260000.0, G49=2470000.0, G5=1730000.0, G50=2475000.0, G51=2270000.0, G52=1970000.0, G53=2465000.0, G54=2430000.0, G55=1620000.0, G56=1920000.0, G57=1545000.0, G58=800000.0, G59=2450000.0, G6=2415000.0, G60=2425000.0, G61=2050000.0, G62=2245000.0, G63=1890000.0, G64=2090000.0, G65=2095000.0, G66=2165000.0, G67=1650000.0, G68=2480000.0, G69=2445000.0, G7=2320000.0, G70=1905000.0, G71=2335000.0, G72=1950000.0, G73=1935000.0, G74=2180000.0, G8=2400000.0, G9=1990000.0}
G38 : {G0=2115000.0, G1=2485000.0, G10=1870000.0, G11=1680000.0, G12=1510000.0, G13=1770000.0, G14=2460000.0, G15=2195000.0, G16=2160000.0, G17=2365000.0, G18=2205000.0, G19=2355000.0, G2=2405000.0, G20=260000.0, G21=2055000.0, G22=2440000.0, G23=2175000.0, G24=2300000.0, G25=2410000.0, G26=1795000.0, G27=2290000.0, G28=2390000.0, G29=2490000.0, G3=2185000.0, G30=2375000.0, G31=975000.0, G32=1695000.0, G33=2315000.0, G34=2495000.0, G35=2240000.0, G36=1740000.0, G37=2200000.0, G38=2255000.0, G39=2455000.0, G4=1550000.0, G40=1635000.0, G41=2140000.0, G42=2370000.0, G43=1365000.0, G44=2215000.0, G45=2345000.0, G46=1140000.0, G47=2330000.0, G48=2260000.0, G49=2470000.0, G5=1730000.0, G50=2475000.0, G51=2270000.0, G52=1970000.0, G53=2465000.0, G54=2430000.0, G55=1620000.0, G56=1920000.0, G57=1545000.0, G58=800000.0, G59=2450000.0, G6=2415000.0, G60=2425000.0, G61=2050000.0, G62=2245000.0, G63=1890000.0, G64=2090000.0, G65=2095000.0, G66=2165000.0, G67=1650000.0, G68=2480000.0, G69=2445000.0, G7=2320000.0, G70=1905000.0, G71=2335000.0, G72=1950000.0, G73=1935000.0, G74=2180000.0, G8=2400000.0, G9=1990000.0}
G39 : {G0=2115000.0, G1=2485000.0, G10=1870000.0, G11=1680000.0, G12=1510000.0, G13=1770000.0, G14=2460000.0, G15=2195000.0, G16=2160000.0, G17=2365000.0, G18=2205000.0, G19=2355000.0, G2=2405000.0, G20=260000.0, G21=2055000.0, G22=2440000.0, G23=2175000.0, G24=2300000.0, G25=2410000.0, G26=1795000.0, G27=2290000.0, G28=2390000.0, G29=2490000.0, G3=2185000.0, G30=2375000.0, G31=975000.0, G32=1695000.0, G33=2315000.0, G34=2495000.0, G35=2240000.0, G36=1740000.0, G37=2200000.0, G38=2255000.0, G39=2455000.0, G4=1550000.0, G40=1635000.0, G41=2140000.0, G42=2370000.0, G43=1365000.0, G44=2215000.0, G45=2345000.0, G46=1140000.0, G47=2330000.0, G48=2260000.0, G49=2470000.0, G5=1730000.0, G50=2475000.0, G51=2270000.0, G52=1970000.0, G53=2465000.0, G54=2430000.0, G55=1620000.0, G56=1920000.0, G57=1545000.0, G58=800000.0, G59=2450000.0, G6=2415000.0, G60=2425000.0, G61=2050000.0, G62=2245000.0, G63=1890000.0, G64=2090000.0, G65=2095000.0, G66=2165000.0, G67=1650000.0, G68=2480000.0, G69=2445000.0, G7=2320000.0, G70=1905000.0, G71=2335000.0, G72=1950000.0, G73=1935000.0, G74=2180000.0, G8=2400000.0, G9=1990000.0}
G40 : {G0=2115000.0, G1=2485000.0, G10=1870000.0, G11=1680000.0, G12=1510000.0, G13=1770000.0, G14=2460000.0, G15=2195000.0, G16=2160000.0, G17=2365000.0, G18=2205000.0, G19=2355000.0, G2=2405000.0, G20=260000.0, G21=2055000.0, G22=2440000.0, G23=2175000.0, G24=2300000.0, G25=2410000.0, G26=1795000.0, G27=2290000.0, G28=2390000.0, G29=2490000.0, G3=2185000.0, G30=2375000.0, G31=975000.0, G32=1695000.0, G33=2315000.0, G34=2495000.0, G35=2240000.0, G36=1740000.0, G37=2200000.0, G38=2255000.0, G39=2455000.0, G4=1550000.0, G40=1635000.0, G41=2140000.0, G42=2370000.0, G43=1365000.0, G44=2215000.0, G45=2345000.0, G46=1140000.0, G47=2330000.0, G48=2260000.0, G49=2470000.0, G5=1730000.0, G50=2475000.0, G51=2270000.0, G52=1970000.0, G53=2465000.0, G54=2430000.0, G55=1620000.0, G56=1920000.0, G57=1545000.0, G58=800000.0, G59=2450000.0, G6=2415000.0, G60=2425000.0, G61=2050000.0, G62=2245000.0, G63=1890000.0, G64=2090000.0, G65=2095000.0, G66=2165000.0, G67=1650000.0, G68=2480000.0, G69=2445000.0, G7=2320000.0, G70=1905000.0, G71=2335000.0, G72=1950000.0, G73=1935000.0, G74=2180000.0, G8=2400000.0, G9=1990000.0}
G41 : {G0=2115000.0, G1=2485000.0, G10=1870000.0, G11=1680000.0, G12=1510000.0, G13=1770000.0, G14=2460000.0, G15=2195000.0, G16=2160000.0, G17=2365000.0, G18=2205000.0, G19=2355000.0, G2=2405000.0, G20=260000.0, G21=2055000.0, G22=2440000.0, G23=2175000.0, G24=2300000.0, G25=2410000.0, G26=1795000.0, G27=2290000.0, G28=2390000.0, G29=2490000.0, G3=2185000.0, G30=2375000.0, G31=975000.0, G32=1695000.0, G33=2315000.0, G34=2495000.0, G35=2240000.0, G36=1740000.0, G37=2200000.0, G38=2255000.0, G39=2455000.0, G4=1550000.0, G40=1635000.0, G41=2140000.0, G42=2370000.0, G43=1365000.0, G44=2215000.0, G45=2345000.0, G46=1140000.0, G47=2330000.0, G48=2260000.0, G49=2470000.0, G5=1730000.0, G50=2475000.0, G51=2270000.0, G52=1970000.0, G53=2465000.0, G54=2430000.0, G55=1620000.0, G56=1920000.0, G57=1545000.0, G58=800000.0, G59=2450000.0, G6=2415000.0, G60=2425000.0, G61=2050000.0, G62=2245000.0, G63=1890000.0, G64=2090000.0, G65=2095000.0, G66=2165000.0, G67=1650000.0, G68=2480000.0, G69=2445000.0, G7=2320000.0, G70=1905000.0, G71=2335000.0, G72=1950000.0, G73=1935000.0, G74=2180000.0, G8=2400000.0, G9=1990000.0}
G42 : {G0=2115000.0, G1=2485000.0, G10=1870000.0, G11=1680000.0, G12=1510000.0, G13=1770000.0, G14=2460000.0, G15=2195000.0, G16=2160000.0, G17=2365000.0, G18=2205000.0, G19=2355000.0, G2=2405000.0, G20=260000.0, G21=2055000.0, G22=2440000.0, G23=2175000.0, G24=2300000.0, G25=2410000.0, G26=1795000.0, G27=2290000.0, G28=2390000.0, G29=2490000.0, G3=2185000.0, G30=2375000.0, G31=975000.0, G32=1695000.0, G33=2315000.0, G34=2495000.0, G35=2240000.0, G36=1740000.0, G37=2200000.0, G38=2255000.0, G39=2455000.0, G4=1550000.0, G40=1635000.0, G41=2140000.0, G42=2370000.0, G43=1365000.0, G44=2215000.0, G45=2345000.0, G46=1140000.0, G47=2330000.0, G48=2260000.0, G49=2470000.0, G5=1730000.0, G50=2475000.0, G51=2270000.0, G52=1970000.0, G53=2465000.0, G54=2430000.0, G55=1620000.0, G56=1920000.0, G57=1545000.0, G58=800000.0, G59=2450000.0, G6=2415000.0, G60=2425000.0, G61=2050000.0, G62=2245000.0, G63=1890000.0, G64=2090000.0, G65=2095000.0, G66=2165000.0, G67=1650000.0, G68=2480000.0, G69=2445000.0, G7=2320000.0, G70=1905000.0, G71=2335000.0, G72=1950000.0, G73=1935000.0, G74=2180000.0, G8=2400000.0, G9=1990000.0}
G43 : {G0=2115000.0, G1=2485000.0, G10=1870000.0, G11=1680000.0, G12=1510000.0, G13=1770000.0, G14=2460000.0, G15=2195000.0, G16=2160000.0, G17=2365000.0, G18=2205000.0, G19=2355000.0, G2=2405000.0, G20=260000.0, G21=2055000.0, G22=2440000.0, G23=2175000.0, G24=2300000.0, G25=2410000.0, G26=1795000.0, G27=2290000.0, G28=2390000.0, G29=2490000.0, G3=2185000.0, G30=2375000.0, G31=975000.0, G32=1695000.0, G33=2315000.0, G34=2495000.0, G35=2240000.0, G36=1740000.0, G37=2200000.0, G38=2255000.0, G39=2455000.0, G4=1550000.0, G40=1635000.0, G41=2140000.0, G42=2370000.0, G43=1365000.0, G44=2215000.0, G45=2345000.0, G46=1140000.0, G47=2330000.0, G48=2260000.0, G49=2470000.0, G5=1730000.0, G50=2475000.0, G51=2270000.0, G52=1970000.0, G53=2465000.0, G54=2430000.0, G55=1620000.0, G56=1920000.0, G57=1545000.0, G58=800000.0, G59=2450000.0, G6=2415000.0, G60=2425000.0, G61=2050000.0, G62=2245000.0, G63=1890000.0, G64=2090000.0, G65=2095000.0, G66=2165000.0, G67=1650000.0, G68=2480000.0, G69=2445000.0, G7=2320000.0, G70=1905000.0, G71=2335000.0, G72=1950000.0, G73=1935000.0, G74=2180000.0, G8=2400000.0, G9=1990000.0}
G44 : {G0=2115000.0, G1=2485000.0, G10=1870000.0, G11=1680000.0, G12=1510000.0, G13=1770000.0, G14=2460000.0, G15=2195000.0, G16=2160000.0, G17=2365000.0, G18=2205000.0, G19=2355000.0, G2=2405000.0, G20=260000.0, G21=2055000.0, G22=2440000.0, G23=2175000.0, G24=2300000.0, G25=2410000.0, G26=1795000.0, G27=2290000.0, G28=2390000.0, G29=2490000.0, G3=2185000.0, G30=2375000.0, G31=975000.0, G32=1695000.0, G33=2315000.0, G34=2495000.0, G35=2240000.0, G36=1740000.0, G37=2200000.0, G38=2255000.0, G39=2455000.0, G4=1550000.0, G40=1635000.0, G41=2140000.0, G42=2370000.0, G43=1365000.0, G44=2215000.0, G45=2345000.0, G46=1140000.0, G47=2330000.0, G48=2260000.0, G49=2470000.0, G5=1730000.0, G50=2475000.0, G51=2270000.0, G52=1970000.0, G53=2465000.0, G54=2430000.0, G55=1620000.0, G56=1920000.0, G57=1545000.0, G58=800000.0, G59=2450000.0, G6=2415000.0, G60=2425000.0, G61=2050000.0, G62=2245000.0, G63=1890000.0, G64=2090000.0, G65=2095000.0, G66=2165000.0, G67=1650000.0, G68=2480000.0, G69=2445000.0, G7=2320000.0, G70=1905000.0, G71=2335000.0, G72=1950000.0, G73=1935000.0, G74=2180000.0, G8=2400000.0, G9=1990000.0}
G45 : {G0=2115000.0, G1=2485000.0, G10=1870000.0, G11=1680000.0, G12=1510000.0, G13=1770000.0, G14=2460000.0, G15=2195000.0, G16=2160000.0, G17=2365000.0, G18=2205000.0, G19=2355000.0, G2=2405000.0, G20=260000.0, G21=2055000.0, G22=2440000.0, G23=2175000.0, G24=2300000.0, G25=2410000.0, G26=1795000.0, G27=2290000.0, G28=2390000.0, G29=2490000.0, G3=2185000.0, G30=2375000.0, G31=975000.0, G32=1695000.0, G33=2315000.0, G34=2495000.0, G35=2240000.0, G36=1740000.0, G37=2200000.0, G38=2255000.0, G39=2455000.0, G4=1550000.0, G40=1635000.0, G41=2140000.0, G42=2370000.0, G43=1365000.0, G44=2215000.0, G45=2345000.0, G46=1140000.0, G47=2330000.0, G48=2260000.0, G49=2470000.0, G5=1730000.0, G50=2475000.0, G51=2270000.0, G52=1970000.0, G53=2465000.0, G54=2430000.0, G55=1620000.0, G56=1920000.0, G57=1545000.0, G58=800000.0, G59=2450000.0, G6=2415000.0, G60=2425000.0, G61=2050000.0, G62=2245000.0, G63=1890000.0, G64=2090000.0, G65=2095000.0, G66=2165000.0, G67=1650000.0, G68=2480000.0, G69=2445000.0, G7=2320000.0, G70=1905000.0, G71=2335000.0, G72=1950000.0, G73=1935000.0, G74=2180000.0, G8=2400000.0, G9=1990000.0}
G46 : {G0=2115000.0, G1=2485000.0, G10=1870000.0, G11=1680000.0, G12=1510000.0, G13=1770000.0, G14=2460000.0, G15=2195000.0, G16=2160000.0, G17=2365000.0, G18=2205000.0, G19=2355000.0, G2=2405000.0, G20=260000.0, G21=2055000.0, G22=2440000.0, G23=2175000.0, G24=2300000.0, G25=2410000.0, G26=1795000.0, G27=2290000.0, G28=2390000.0, G29=2490000.0, G3=2185000.0, G30=2375000.0, G31=975000.0, G32=1695000.0, G33=2315000.0, G34=2495000.0, G35=2240000.0, G36=1740000.0, G37=2200000.0, G38=2255000.0, G39=2455000.0, G4=1550000.0, G40=1635000.0, G41=2140000.0, G42=2370000.0, G43=1365000.0, G44=2215000.0, G45=2345000.0, G46=1140000.0, G47=2330000.0, G48=2260000.0, G49=2470000.0, G5=1730000.0, G50=2475000.0, G51=2270000.0, G52=1970000.0, G53=2465000.0, G54=2430000.0, G55=1620000.0, G56=1920000.0, G57=1545000.0, G58=800000.0, G59=2450000.0, G6=2415000.0, G60=2425000.0, G61=2050000.0, G62=2245000.0, G63=1890000.0, G64=2090000.0, G65=2095000.0, G66=2165000.0, G67=1650000.0, G68=2480000.0, G69=2445000.0, G7=2320000.0, G70=1905000.0, G71=2335000.0, G72=1950000.0, G73=1935000.0, G74=2180000.0, G8=2400000.0, G9=1990000.0}
G47 : {G0=2115000.0, G1=2485000.0, G10=1870000.0, G11=1680000.0, G12=1510000.0, G13=1770000.0, G14=2460000.0, G15=2195000.0, G16=2160000.0, G17=2365000.0, G18=2205000.0, G19=2355000.0, G2=2405000.0, G20=260000.0, G21=2055000.0, G22=2440000.0, G23=2175000.0, G24=2300000.0, G25=2410000.0, G26=1795000.0, G27=2290000.0, G28=2390000.0, G29=2490000.0, G3=2185000.0, G30=2375000.0, G31=975000.0, G32=1695000.0, G33=2315000.0, G34=2495000.0, G35=2240000.0, G36=1740000.0, G37=2200000.0, G38=2255000.0, G39=2455000.0, G4=1550000.0, G40=1635000.0, G41=2140000.0, G42=2370000.0, G43=1365000.0, G44=2215000.0, G45=2345000.0, G46=1140000.0, G47=2330000.0, G48=2260000.0, G49=2470000.0, G5=1730000.0, G50=2475000.0, G51=2270000.0, G52=1970000.0, G53=2465000.0, G54=2430000.0, G55=1620000.0, G56=1920000.0, G57=1545000.0, G58=800000.0, G59=2450000.0, G6=2415000.0, G60=2425000.0, G61=2050000.0, G62=2245000.0, G63=1890000.0, G64=2090000.0, G65=2095000.0, G66=2165000.0, G67=1650000.0, G68=2480000.0, G69=2445000.0, G7=2320000.0, G70=1905000.0, G71=2335000.0, G72=1950000.0, G73=1935000.0, G74=2180000.0, G8=2400000.0, G9=1990000.0}
G48 : {G0=2115000.0, G1=2485000.0, G10=1870000.0, G11=1680000.0, G12=1510000.0, G13=1770000.0, G14=2460000.0, G15=2195000.0, G16=2160000.0, G17=2365000.0, G18=2205000.0, G19=2355000.0, G2=2405000.0, G20=260000.0, G21=2055000.0, G22=2440000.0, G23=2175000.0, G24=2300000.0, G25=2410000.0, G26=1795000.0, G27=2290000.0, G28=2390000.0, G29=2490000.0, G3=2185000.0, G30=2375000.0, G31=975000.0, G32=1695000.0, G33=2315000.0, G34=2495000.0, G35=2240000.0, G36=1740000.0, G37=2200000.0, G38=2255000.0, G39=2455000.0, G4=1550000.0, G40=1635000.0, G41=2140000.0, G42=2370000.0, G43=1365000.0, G44=2215000.0, G45=2345000.0, G46=1140000.0, G47=2330000.0, G48=2260000.0, G49=2470000.0, G5=1730000.0, G50=2475000.0, G51=2270000.0, G52=1970000.0, G53=2465000.0, G54=2430000.0, G55=1620000.0, G56=1920000.0, G57=1545000.0, G58=800000.0, G59=2450000.0, G6=2415000.0, G60=2425000.0, G61=2050000.0, G62=2245000.0, G63=1890000.0, G64=2090000.0, G65=2095000.0, G66=2165000.0, G67=1650000.0, G68=2480000.0, G69=2445000.0, G7=2320000.0, G70=1905000.0, G71=2335000.0, G72=1950000.0, G73=1935000.0, G74=2180000.0, G8=2400000.0, G9=1990000.0}
G49 : {G0=2115000.0, G1=2485000.0, G10=1870000.0, G11=1680000.0, G12=1510000.0, G13=1770000.0, G14=2460000.0, G15=2195000.0, G16=2160000.0, G17=2365000.0, G18=2205000.0, G19=2355000.0, G2=2405000.0, G20=260000.0, G21=2055000.0, G22=2440000.0, G23=2175000.0, G24=2300000.0, G25=2410000.0, G26=1795000.0, G27=2290000.0, G28=2390000.0, G29=2490000.0, G3=2185000.0, G30=2375000.0, G31=975000.0, G32=1695000.0, G33=2315000.0, G34=2495000.0, G35=2240000.0, G36=1740000.0, G37=2200000.0, G38=2255000.0, G39=2455000.0, G4=1550000.0, G40=1635000.0, G41=2140000.0, G42=2370000.0, G43=1365000.0, G44=2215000.0, G45=2345000.0, G46=1140000.0, G47=2330000.0, G48=2260000.0, G49=2470000.0, G5=1730000.0, G50=2475000.0, G51=2270000.0, G52=1970000.0, G53=2465000.0, G54=2430000.0, G55=1620000.0, G56=1920000.0, G57=1545000.0, G58=800000.0, G59=2450000.0, G6=2415000.0, G60=2425000.0, G61=2050000.0, G62=2245000.0, G63=1890000.0, G64=2090000.0, G65=2095000.0, G66=2165000.0, G67=1650000.0, G68=2480000.0, G69=2445000.0, G7=2320000.0, G70=1905000.0, G71=2335000.0, G72=1950000.0, G73=1935000.0, G74=2180000.0, G8=2400000.0, G9=1990000.0}
G50 : {G0=2115000.0, G1=2485000.0, G10=1870000.0, G11=1680000.0, G12=1510000.0, G13=1770000.0, G14=2460000.0, G15=2195000.0, G16=2160000.0, G17=2365000.0, G18=2205000.0, G19=2355000.0, G2=2405000.0, G20=260000.0, G21=2055000.0, G22=2440000.0, G23=2175000.0, G24=2300000.0, G25=2410000.0, G26=1795000.0, G27=2290000.0, G28=2390000.0, G29=2490000.0, G3=2185000.0, G30=2375000.0, G31=975000.0, G32=1695000.0, G33=2315000.0, G34=2495000.0, G35=2240000.0, G36=1740000.0, G37=2200000.0, G38=2255000.0, G39=2455000.0, G4=1550000.0, G40=1635000.0, G41=2140000.0, G42=2370000.0, G43=1365000.0, G44=2215000.0, G45=2345000.0, G46=1140000.0, G47=2330000.0, G48=2260000.0, G49=2470000.0, G5=1730000.0, G50=2475000.0, G51=2270000.0, G52=1970000.0, G53=2465000.0, G54=2430000.0, G55=1620000.0, G56=1920000.0, G57=1545000.0, G58=800000.0, G59=2450000.0, G6=2415000.0, G60=2425000.0, G61=2050000.0, G62=2245000.0, G63=1890000.0, G64=2090000.0, G65=2095000.0, G66=2165000.0, G67=1650000.0, G68=2480000.0, G69=2445000.0, G7=2320000.0, G70=1905000.0, G71=2335000.0, G72=1950000.0, G73=1935000.0, G74=2180000.0, G8=2400000.0, G9=1990000.0}
